DocType	DocEntry	DocumentNumber	DocumentDate	CustomerCode	CustomerName	LineNum	ItemCode	ItemDesc	Quantity	ReasonCode
Sales Order	11	11	20-03-2006 00:00:00	C60000	SG Electronics	1	C00009	Keyboard Comfort USB	20		
Sales Order	11	11	20-03-2006 00:00:00	C60000	SG Electronics	2	C00008	Monitor 19' TFT	20		
Sales Order	11	11	20-03-2006 00:00:00	C60000	SG Electronics	3	C00007	Hard Disk Seagate 400 GB	10		
Sales Order	11	11	20-03-2006 00:00:00	C60000	SG Electronics	4	C00006	Network Card10/100	15		
Sales Order	12	12	25-03-2006 00:00:00	C70000	Aquent Systems	0	A00006	HP 600 Series Inc	20		
Sales Order	12	12	25-03-2006 00:00:00	C70000	Aquent Systems	1	B10000	Printer Label	100		
Sales Order	12	12	25-03-2006 00:00:00	C70000	Aquent Systems	2	A00001	IBM Infoprint 1312	10		
Sales Order	12	12	25-03-2006 00:00:00	C70000	Aquent Systems	3	A00003	IBM Infoprint 1226	10		
Sales Order	12	12	25-03-2006 00:00:00	C70000	Aquent Systems	4	LM4029MC	Memory Chip	20		
Sales Order	13	13	30-03-2006 00:00:00	C70000	Aquent Systems	0	A00001	IBM Infoprint 1312	5		
Sales Order	13	13	30-03-2006 00:00:00	C70000	Aquent Systems	1	A00003	IBM Infoprint 1226	5		
Sales Order	13	13	30-03-2006 00:00:00	C70000	Aquent Systems	2	LM4029MC	Memory Chip	10		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	0	C00004	Tower Case with Power supply	10		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	1	A00002	IBM Infoprint 1222	15		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	2	A00003	IBM Infoprint 1226	10		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	3	C00006	Network Card10/100	15		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	4	C00007	Hard Disk Seagate 400 GB	10		
Sales Order	14	14	02-04-2006 00:00:00	C60000	SG Electronics	5	S10000	Server Point 10000	1		
Sales Order	15	15	05-04-2006 00:00:00	C40000	Earthshaker Corporation	0	S10000	Server Point 10000	5		
Sales Order	15	15	05-04-2006 00:00:00	C40000	Earthshaker Corporation	1	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	15	15	05-04-2006 00:00:00	C40000	Earthshaker Corporation	2	P10003	PC Set 1	5		
Sales Order	15	15	05-04-2006 00:00:00	C40000	Earthshaker Corporation	3	P10004	PC Set 2	5		
Sales Order	16	16	10-04-2006 00:00:00	C42000	Mashina Corporation	0	A00002	IBM Infoprint 1222	8		
Sales Order	16	16	10-04-2006 00:00:00	C42000	Mashina Corporation	1	A00003	IBM Infoprint 1226	5		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	0	A00001	IBM Infoprint 1312	8		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	1	A00003	IBM Infoprint 1226	8		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	2	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	1		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	3	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	1		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	4	P10003	PC Set 1	2		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	5	P10004	PC Set 2	2		
Sales Order	17	17	20-04-2006 00:00:00	C50000	ADA Technologies	6	LM4029MC	Memory Chip	10		
Sales Order	18	18	30-04-2006 00:00:00	C70000	Aquent Systems	0	S10000	Server Point 10000	7		
Sales Order	18	18	30-04-2006 00:00:00	C70000	Aquent Systems	1	P10003	PC Set 1	2		
Sales Order	18	18	30-04-2006 00:00:00	C70000	Aquent Systems	2	P10004	PC Set 2	2		
Sales Order	19	19	15-05-2006 00:00:00	C20000	Norm Thompson	0	C00005	WLAN Card	12		
Sales Order	19	19	15-05-2006 00:00:00	C20000	Norm Thompson	1	C00002	Motherboard P4 Turbo - Asus Chipset	12		
Sales Order	19	19	15-05-2006 00:00:00	C20000	Norm Thompson	2	C00003	Intel P4 2.4 GhZ	16		
Sales Order	19	19	15-05-2006 00:00:00	C20000	Norm Thompson	3	A00004	HP Color Laser Jet 5	8		
Sales Order	19	19	15-05-2006 00:00:00	C20000	Norm Thompson	4	A00005	HP Color Laser Jet 4	15		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	0	A00001	IBM Infoprint 1312	10		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	1	B10000	Printer Label	200		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	2	A00002	IBM Infoprint 1222	8		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	3	A00003	IBM Infoprint 1226	5		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	4	LM4029MC	Memory Chip	30		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	5	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	20	20	20-05-2006 00:00:00	C23900	Parameter Technology	6	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	21	21	25-05-2006 00:00:00	C30000	Microchips	0	S10000	Server Point 10000	5		
Sales Order	21	21	25-05-2006 00:00:00	C30000	Microchips	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	3		
Sales Order	21	21	25-05-2006 00:00:00	C30000	Microchips	2	P10003	PC Set 1	3		
Sales Order	22	22	01-06-2006 00:00:00	C40000	Earthshaker Corporation	0	A00002	IBM Infoprint 1222	12		
Sales Order	22	22	01-06-2006 00:00:00	C40000	Earthshaker Corporation	1	A00003	IBM Infoprint 1226	8		
Sales Order	23	23	10-06-2006 00:00:00	C50000	ADA Technologies	0	C00006	Network Card10/100	10		
Sales Order	23	23	10-06-2006 00:00:00	C50000	ADA Technologies	1	C00001	Motherboard P4 Turbo	20		
Sales Order	23	23	10-06-2006 00:00:00	C50000	ADA Technologies	2	LM4029MC	Memory Chip	10		
Sales Order	24	24	15-06-2006 00:00:00	C42000	Mashina Corporation	0	S10000	Server Point 10000	4		
Sales Order	24	24	15-06-2006 00:00:00	C42000	Mashina Corporation	1	P10003	PC Set 1	3		
Sales Order	24	24	15-06-2006 00:00:00	C42000	Mashina Corporation	2	P10004	PC Set 2	2		
Sales Order	25	25	25-06-2006 00:00:00	C70000	Aquent Systems	0	A00006	HP 600 Series Inc	50		
Sales Order	25	25	25-06-2006 00:00:00	C70000	Aquent Systems	1	B10000	Printer Label	100		
Sales Order	25	25	25-06-2006 00:00:00	C70000	Aquent Systems	2	A00001	IBM Infoprint 1312	2		
Sales Order	25	25	25-06-2006 00:00:00	C70000	Aquent Systems	3	A00003	IBM Infoprint 1226	2		
Sales Order	25	25	25-06-2006 00:00:00	C70000	Aquent Systems	4	LM4029MC	Memory Chip	5		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	0	A00001	IBM Infoprint 1312	8		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	1	A00002	IBM Infoprint 1222	6		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	2	A00003	IBM Infoprint 1226	2		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	3	A00004	HP Color Laser Jet 5	8		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	4	A00005	HP Color Laser Jet 4	6		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	5	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	1		
Sales Order	26	26	30-06-2006 00:00:00	C60000	SG Electronics	6	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	1		
Sales Order	27	27	07-07-2006 00:00:00	C20000	Norm Thompson	0	A00002	IBM Infoprint 1222	10		
Sales Order	27	27	07-07-2006 00:00:00	C20000	Norm Thompson	1	A00004	HP Color Laser Jet 5	10		
Sales Order	27	27	07-07-2006 00:00:00	C20000	Norm Thompson	2	A00006	HP 600 Series Inc	10		
Sales Order	27	27	07-07-2006 00:00:00	C20000	Norm Thompson	3	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	27	27	07-07-2006 00:00:00	C20000	Norm Thompson	4	P10004	PC Set 2	4		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	0	C00007	Hard Disk Seagate 400 GB	15		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	1	A00003	IBM Infoprint 1226	10		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	2	C00005	WLAN Card	15		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	3	B10000	Printer Label	50		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	4	LM4029MC	Memory Chip	20		
Sales Order	28	28	11-07-2006 00:00:00	C30000	Microchips	5	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	29	29	18-07-2006 00:00:00	C42000	Mashina Corporation	0	S10000	Server Point 10000	2		
Sales Order	29	29	18-07-2006 00:00:00	C42000	Mashina Corporation	1	A00001	IBM Infoprint 1312	5		
Sales Order	29	29	18-07-2006 00:00:00	C42000	Mashina Corporation	2	A00002	IBM Infoprint 1222	5		
Sales Order	30	30	23-07-2006 00:00:00	C60000	SG Electronics	0	A00003	IBM Infoprint 1226	10		
Sales Order	30	30	23-07-2006 00:00:00	C60000	SG Electronics	1	A00004	HP Color Laser Jet 5	5		
Sales Order	30	30	23-07-2006 00:00:00	C60000	SG Electronics	2	C00001	Motherboard P4 Turbo	15		
Sales Order	30	30	23-07-2006 00:00:00	C60000	SG Electronics	3	P10004	PC Set 2	2		
Sales Order	30	30	23-07-2006 00:00:00	C60000	SG Electronics	4	P10003	PC Set 1	2		
Sales Order	31	31	01-08-2006 00:00:00	C23900	Parameter Technology	0	A00002	IBM Infoprint 1222	4		
Sales Order	31	31	01-08-2006 00:00:00	C23900	Parameter Technology	1	A00003	IBM Infoprint 1226	4		
Sales Order	31	31	01-08-2006 00:00:00	C23900	Parameter Technology	2	A00004	HP Color Laser Jet 5	4		
Sales Order	31	31	01-08-2006 00:00:00	C23900	Parameter Technology	3	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	1		
Sales Order	32	32	08-08-2006 00:00:00	C40000	Earthshaker Corporation	0	A00004	HP Color Laser Jet 5	8		
Sales Order	32	32	08-08-2006 00:00:00	C40000	Earthshaker Corporation	1	A00005	HP Color Laser Jet 4	7		
Sales Order	32	32	08-08-2006 00:00:00	C40000	Earthshaker Corporation	2	A00006	HP 600 Series Inc	6		
Sales Order	32	32	08-08-2006 00:00:00	C40000	Earthshaker Corporation	3	S10000	Server Point 10000	1		
Sales Order	32	32	08-08-2006 00:00:00	C40000	Earthshaker Corporation	4	P10003	PC Set 1	2		
Sales Order	33	33	14-08-2006 00:00:00	C50000	ADA Technologies	0	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	33	33	14-08-2006 00:00:00	C50000	ADA Technologies	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	33	33	14-08-2006 00:00:00	C50000	ADA Technologies	2	P10003	PC Set 1	3		
Sales Order	33	33	14-08-2006 00:00:00	C50000	ADA Technologies	3	P10004	PC Set 2	3		
Sales Order	33	33	14-08-2006 00:00:00	C50000	ADA Technologies	4	B10000	Printer Label	150		
Sales Order	34	34	20-08-2006 00:00:00	C70000	Aquent Systems	0	A00001	IBM Infoprint 1312	2		
Sales Order	34	34	20-08-2006 00:00:00	C70000	Aquent Systems	1	A00004	HP Color Laser Jet 5	2		
Sales Order	34	34	20-08-2006 00:00:00	C70000	Aquent Systems	2	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	34	34	20-08-2006 00:00:00	C70000	Aquent Systems	3	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	35	35	25-08-2006 00:00:00	C20000	Norm Thompson	0	S10000	Server Point 10000	2		
Sales Order	35	35	25-08-2006 00:00:00	C20000	Norm Thompson	1	P10003	PC Set 1	5		
Sales Order	35	35	25-08-2006 00:00:00	C20000	Norm Thompson	2	P10004	PC Set 2	5		
Sales Order	35	35	25-08-2006 00:00:00	C20000	Norm Thompson	3	A00003	IBM Infoprint 1226	10		
Sales Order	35	35	25-08-2006 00:00:00	C20000	Norm Thompson	4	A00005	HP Color Laser Jet 4	10		
Sales Order	36	36	28-08-2006 00:00:00	C70000	Aquent Systems	0	B10000	Printer Label	50		
Sales Order	36	36	28-08-2006 00:00:00	C70000	Aquent Systems	1	LM4029MC	Memory Chip	20		
Sales Order	36	36	28-08-2006 00:00:00	C70000	Aquent Systems	2	A00006	HP 600 Series Inc	10		
Sales Order	37	37	02-09-2006 00:00:00	C23900	Parameter Technology	0	A00001	IBM Infoprint 1312	5		
Sales Order	37	37	02-09-2006 00:00:00	C23900	Parameter Technology	1	A00002	IBM Infoprint 1222	5		
Sales Order	37	37	02-09-2006 00:00:00	C23900	Parameter Technology	2	A00003	IBM Infoprint 1226	5		
Sales Order	37	37	02-09-2006 00:00:00	C23900	Parameter Technology	3	P10003	PC Set 1	2		
Sales Order	38	38	06-09-2006 00:00:00	C60000	SG Electronics	0	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	3		
Sales Order	38	38	06-09-2006 00:00:00	C60000	SG Electronics	1	P10003	PC Set 1	3		
Sales Order	38	38	06-09-2006 00:00:00	C60000	SG Electronics	2	LM4029MC	Memory Chip	10		
Sales Order	39	39	09-09-2006 00:00:00	C30000	Microchips	0	A00001	IBM Infoprint 1312	5		
Sales Order	39	39	09-09-2006 00:00:00	C30000	Microchips	1	A00003	IBM Infoprint 1226	5		
Sales Order	39	39	09-09-2006 00:00:00	C30000	Microchips	2	A00005	HP Color Laser Jet 4	5		
Sales Order	39	39	09-09-2006 00:00:00	C30000	Microchips	3	B10000	Printer Label	50		
Sales Order	39	39	09-09-2006 00:00:00	C30000	Microchips	4	LM4029MC	Memory Chip	5		
Sales Order	40	40	15-09-2006 00:00:00	C50000	ADA Technologies	0	S10000	Server Point 10000	3		
Sales Order	40	40	15-09-2006 00:00:00	C50000	ADA Technologies	1	A00006	HP 600 Series Inc	10		
Sales Order	40	40	15-09-2006 00:00:00	C50000	ADA Technologies	2	P10004	PC Set 2	3		
Sales Order	41	41	23-09-2006 00:00:00	C30000	Microchips	0	A00002	IBM Infoprint 1222	6		
Sales Order	41	41	23-09-2006 00:00:00	C30000	Microchips	1	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	41	41	23-09-2006 00:00:00	C30000	Microchips	2	P10003	PC Set 1	2		
Sales Order	42	42	29-09-2006 00:00:00	C42000	Mashina Corporation	0	A00001	IBM Infoprint 1312	3		
Sales Order	42	42	29-09-2006 00:00:00	C42000	Mashina Corporation	1	A00002	IBM Infoprint 1222	2		
Sales Order	42	42	29-09-2006 00:00:00	C42000	Mashina Corporation	2	A00003	IBM Infoprint 1226	6		
Sales Order	42	42	29-09-2006 00:00:00	C42000	Mashina Corporation	3	A00004	HP Color Laser Jet 5	5		
Sales Order	43	43	06-10-2006 00:00:00	C40000	Earthshaker Corporation	0	A00005	HP Color Laser Jet 4	10		
Sales Order	43	43	06-10-2006 00:00:00	C40000	Earthshaker Corporation	1	A00006	HP 600 Series Inc	10		
Sales Order	43	43	06-10-2006 00:00:00	C40000	Earthshaker Corporation	2	B10000	Printer Label	100		
Sales Order	43	43	06-10-2006 00:00:00	C40000	Earthshaker Corporation	3	C00010	Mouse USB	10		
Sales Order	43	43	06-10-2006 00:00:00	C40000	Earthshaker Corporation	4	S10000	Server Point 10000	10		
Sales Order	44	44	12-10-2006 00:00:00	C42000	Mashina Corporation	0	A00001	IBM Infoprint 1312	5		
Sales Order	44	44	12-10-2006 00:00:00	C42000	Mashina Corporation	1	A00002	IBM Infoprint 1222	5		
Sales Order	44	44	12-10-2006 00:00:00	C42000	Mashina Corporation	2	A00004	HP Color Laser Jet 5	5		
Sales Order	44	44	12-10-2006 00:00:00	C42000	Mashina Corporation	3	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	5		
Sales Order	45	45	19-10-2006 00:00:00	C30000	Microchips	0	A00003	IBM Infoprint 1226	8		
Sales Order	45	45	19-10-2006 00:00:00	C30000	Microchips	1	A00005	HP Color Laser Jet 4	6		
Sales Order	45	45	19-10-2006 00:00:00	C30000	Microchips	2	A00006	HP 600 Series Inc	5		
Sales Order	46	46	23-10-2006 00:00:00	C50000	ADA Technologies	0	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	46	46	23-10-2006 00:00:00	C50000	ADA Technologies	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	46	46	23-10-2006 00:00:00	C50000	ADA Technologies	2	P10003	PC Set 1	4		
Sales Order	46	46	23-10-2006 00:00:00	C50000	ADA Technologies	3	P10004	PC Set 2	4		
Sales Order	47	47	28-10-2006 00:00:00	C60000	SG Electronics	0	S10000	Server Point 10000	5		
Sales Order	48	48	31-10-2006 00:00:00	C70000	Aquent Systems	0	B10000	Printer Label	100		
Sales Order	49	49	09-11-2006 00:00:00	C23900	Parameter Technology	0	C00008	Monitor 19' TFT	10		
Sales Order	49	49	09-11-2006 00:00:00	C23900	Parameter Technology	1	A00002	IBM Infoprint 1222	10		
Sales Order	49	49	09-11-2006 00:00:00	C23900	Parameter Technology	2	A00003	IBM Infoprint 1226	10		
Sales Order	49	49	09-11-2006 00:00:00	C23900	Parameter Technology	3	A00004	HP Color Laser Jet 5	10		
Sales Order	50	50	13-11-2006 00:00:00	C20000	Norm Thompson	0	P10003	PC Set 1	3		
Sales Order	50	50	13-11-2006 00:00:00	C20000	Norm Thompson	1	P10004	PC Set 2	3		
Sales Order	51	51	18-11-2006 00:00:00	C70000	Aquent Systems	0	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	4		
Sales Order	51	51	18-11-2006 00:00:00	C70000	Aquent Systems	1	A00003	IBM Infoprint 1226	4		
Sales Order	52	52	22-11-2006 00:00:00	C60000	SG Electronics	0	P10003	PC Set 1	5		
Sales Order	52	52	22-11-2006 00:00:00	C60000	SG Electronics	1	A00004	HP Color Laser Jet 5	5		
Sales Order	52	52	22-11-2006 00:00:00	C60000	SG Electronics	2	P10004	PC Set 2	5		
Sales Order	52	52	22-11-2006 00:00:00	C60000	SG Electronics	3	A00005	HP Color Laser Jet 4	5		
Sales Order	53	53	02-12-2006 00:00:00	C50000	ADA Technologies	0	A00001	IBM Infoprint 1312	5		
Sales Order	53	53	02-12-2006 00:00:00	C50000	ADA Technologies	1	A00002	IBM Infoprint 1222	6		
Sales Order	53	53	02-12-2006 00:00:00	C50000	ADA Technologies	2	A00003	IBM Infoprint 1226	7		
Sales Order	53	53	02-12-2006 00:00:00	C50000	ADA Technologies	3	A00004	HP Color Laser Jet 5	8		
Sales Order	53	53	02-12-2006 00:00:00	C50000	ADA Technologies	4	A00005	HP Color Laser Jet 4	9		
Sales Order	54	54	03-12-2006 00:00:00	C42000	Mashina Corporation	0	A00006	HP 600 Series Inc	5		
Sales Order	54	54	03-12-2006 00:00:00	C42000	Mashina Corporation	1	B10000	Printer Label	100		
Sales Order	54	54	03-12-2006 00:00:00	C42000	Mashina Corporation	2	S10000	Server Point 10000	5		
Sales Order	54	54	03-12-2006 00:00:00	C42000	Mashina Corporation	3	P10004	PC Set 2	5		
Sales Order	55	55	05-12-2006 00:00:00	C40000	Earthshaker Corporation	0	P10003	PC Set 1	6		
Sales Order	55	55	05-12-2006 00:00:00	C40000	Earthshaker Corporation	1	LM4029MC	Memory Chip	10		
Sales Order	55	55	05-12-2006 00:00:00	C40000	Earthshaker Corporation	2	B10000	Printer Label	50		
Sales Order	56	56	07-12-2006 00:00:00	C30000	Microchips	0	C00009	Keyboard Comfort USB	10		
Sales Order	56	56	07-12-2006 00:00:00	C30000	Microchips	1	C00002	Motherboard P4 Turbo - Asus Chipset	10		
Sales Order	56	56	07-12-2006 00:00:00	C30000	Microchips	2	C00003	Intel P4 2.4 GhZ	10		
Sales Order	56	56	07-12-2006 00:00:00	C30000	Microchips	3	C00005	WLAN Card	10		
Sales Order	57	57	11-12-2006 00:00:00	C20000	Norm Thompson	0	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	2		
Sales Order	57	57	11-12-2006 00:00:00	C20000	Norm Thompson	1	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	2		
Sales Order	57	57	11-12-2006 00:00:00	C20000	Norm Thompson	2	P10003	PC Set 1	2		
Sales Order	57	57	11-12-2006 00:00:00	C20000	Norm Thompson	3	P10004	PC Set 2	10		
Sales Order	58	58	12-12-2006 00:00:00	C23900	Parameter Technology	0	S10000	Server Point 10000	5		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	0	A00001	IBM Infoprint 1312	20		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	1	A00002	IBM Infoprint 1222	20		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	2	A00003	IBM Infoprint 1226	20		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	3	A00004	HP Color Laser Jet 5	10		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	4	A00005	HP Color Laser Jet 4	20		
Sales Order	59	59	05-01-2007 00:00:00	C20000	Norm Thompson	5	A00006	HP 600 Series Inc	5		
Sales Order	60	60	08-01-2007 00:00:00	C23900	Parameter Technology	0	B10000	Printer Label	250		
Sales Order	61	61	11-01-2007 00:00:00	C30000	Microchips	0	S10000	Server Point 10000	20		
Sales Order	62	62	14-01-2007 00:00:00	C40000	Earthshaker Corporation	0	C00001	Motherboard P4 Turbo	12		
Sales Order	62	62	14-01-2007 00:00:00	C40000	Earthshaker Corporation	1	LM4029MC	Memory Chip	50		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	0	A00001	IBM Infoprint 1312	10		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	1	A00002	IBM Infoprint 1222	10		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	2	A00003	IBM Infoprint 1226	10		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	3	A00004	HP Color Laser Jet 5	10		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	4	A00005	HP Color Laser Jet 4	10		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	5	P10001	"PC - P4 2.4G, DDR 512M, 400G HD"	5		
Sales Order	63	63	17-01-2007 00:00:00	C42000	Mashina Corporation	6	P10002	"PC - P4 2.4G, DDR 1024M, 400G HD"	5		
Sales Order	64	64	20-01-2007 00:00:00	C50000	ADA Technologies	0	A00002	IBM Infoprint 1222	20		
Sales Order	64	64	20-01-2007 00:00:00	C50000	ADA Technologies	1	A00001	IBM Infoprint 1312	20		
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	0	A00001	IBM Infoprint 1312	10		
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	1	A00002	IBM Infoprint 1222	10		
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	2	A00005	HP Color Laser Jet 4	20		
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	3	A00006	HP 600 Series Inc	20		
Sales Order	65	65	23-01-2007 00:00:00	C60000	SG Electronics	4	P10003	PC Set 1	10		
